,Número receta,Nombre receta,ingredientes,ingredientes gustativos,ingredientes +elaboraciones,ingredientes + elaboraciones + técnicas,sabores,texturas
Caballa con encurtidos,"caballas, salsa jang, vinagre de arroz, sal, aceite de oliva virgen extra, cebolla morada, trufa negra, aceite de maíz, agua, alginato, aceitunas verdes manzanilla, xantana, gluconolactato, aguacate, pepinillos en vinagre, alcaparras en vinagre, cogollos de estragón, sal en escamas, vinagre balsámico de Módena, pimienta negra, ","caballas, salsa jang, vinagre de arroz, sal, aceite de oliva virgen extra, cebolla morada, trufa negra, aceite de maíz, aceitunas verdes manzanilla, aguacate, pepinillos en vinagre, alcaparras en vinagre, cogollos de estragón, sal en escamas, vinagre balsámico de Módena, pimienta negra, ","caballa marinada, cebolla morada encurtida, aceite de trufa negra, aceitunas verdes esféricas,  vinagreta, aguacate, pepinillos en vinagre, alcaparras en vinagre, cogollos de estragón, sal en escamas, vinagre balsámico de Módena, pimienta negra, ","caballa marinada, cebolla morada encurtida, aceite de trufa negra, aceitunas verdes esféricas,  vinagreta, aguacate, pepinillos en vinagre, alcaparras en vinagre, cogollos de estragón, sal en escamas, vinagre balsámico de Módena, pimienta negra, ","caballa marinada, cebolla morada encurtida, aceite de trufa negra, jugo de aceituna verde,  vinagreta, aguacate, pepinillos en vinagre, alcaparras en vinagre, estragón, vinagre balsámico de Módena, pimienta negra, ",,,
"Anchoas con boletus, miel de abeto y trufa negra","anchoas en salazón, aceite de oliva virgen extra, piñas verdes de abeto, azúcar, albahaca,  trufa negra, aceite de maíz, sal, boletus, aceite de oliva, ajo, pimienta negra, laurel, piñones tostados, pan de coca, perifollo, ","anchoas en salazón, aceite de oliva virgen extra, piñas verdes de abeto, azúcar, albahaca,  trufa negra, aceite de maíz, sal, boletus, aceite de oliva, ajo, pimienta negra, laurel, piñones tostados, pan de coca, perifollo, ","anchoas, miel de abeto, aceite de albahaca, aceite de trufa negra, boletus confitados, piñones tostados, pan de coca, perifollo, ","anchoas, miel de abeto, aceite de albahaca, aceite de trufa negra, boletus confitados, piñones tostados, pan de coca, perifollo, ","anchoas, miel de abeto, aceite de albahaca, aceite de trufa negra, boletus confitados, piñones tostados, pan de coca, perifollo, ",,,
"Anchoas con jugo de aceituna verde, naranja y menta","anchoas en salazón, aceite de oliva virgen extra, aceitunas manzanilla, xantana, agua de azahar, agua, azúcar, piel de naranja rallada, hoja de gelatina, naranjas, menta, aceite de girasol, puré de aceitunas negra, caviaroli de arbequina, especias ras el-hanout, ","anchoas en salazón, aceite de oliva virgen extra, aceitunas manzanilla, agua de azahar, azúcar, piel de naranja rallada, naranjas, menta, aceite de girasol, puré de aceitunas negra, caviaroli de arbequina, especias ras el-hanout, ","anchoas, jugo de aceituna verde,  gelatina de naranja y azahar, crema de naranja, aceite de menta, gajos de naranja, vinagreta de aceituna negra, caviaroli de arbequina, menta, piel de naranja rallada, especias ras el-hanout, ","anchoas, jugo de aceituna verde,  gelatina de naranja y azahar, crema de naranja, aceite de menta, gajos de naranja, vinagreta de aceituna negra, caviaroli de arbequina, menta, piel de naranja rallada, especias ras el-hanout, ","anchoas, jugo de aceituna verde,  gelatina de naranja y azahar, crema de naranja, aceite de menta, gajos de naranja, vinagreta de aceituna negra, aceite de arbequina, menta, piel de naranja rallada, especias ras el-hanout, ",,,
Atún ibérico con tomate y pan crujiente,"grasa de jamón ibérico, agua, aceite de girasol, tomates rojos maduros, sal, pimienta negra, lomo de atún rojo, pan de coca, caviaroli de arbequina, perifollo, ","grasa de jamón ibérico, aceite de girasol, tomates rojos maduros, sal, pimienta negra, lomo de atún rojo, pan de coca, caviaroli de arbequina, perifollo, ","grasa líquida de jamón ibérico, pulpa de tomate crudo, atún, tostadas de pan de coca, caviaroli de arbequina, perifollo, ","grasa líquida de jamón ibérico, pulpa de tomate crudo, atún, tostadas de pan de coca, caviaroli de arbequina, perifollo, ","grasa de jamón ibérico, pulpa de tomate, atún, pan de coca, aceite de arbequina, perifollo, ",,,
Canelón de atún con sabores mediterráneos,"lomo de atún rojo, aceituna verde manzanilla, xantana , almendra cruda, agua, sal, tomates rojos maduros, aceite de oliva virgen extra, pimienta negra, albahaca, puré de aceituna negra, alcaparras en vinagre, caviaroli de arbequina, sal en escamas, tostadas finas de pan, ","lomo de atún rojo, aceituna verde manzanilla, almendra cruda, sal, tomates rojos maduros, aceite de oliva virgen extra, pimienta negra, albahaca, puré de aceituna negra, alcaparras en vinagre, caviaroli de arbequina, sal en escamas, tostadas finas de pan, ","láminas de atún, picadillo de atún, jugo de aceituna verde, leche de almendra, pulpa de tomate crudo, aceite de albahaca, pulpa de aceituna negra, alcaparras en vinagre, caviaroli de arbequina, sal en escamas, tostadas finas de pan, aceite de oliva virgen extra, ","canelones de atún, jugo de aceituna verde, leche de almendra, pulpa de tomate crudo, aceite de albahaca, pulpa de aceituna negra, alcaparras en vinagre, caviaroli de arbequina, sal en escamas, tostadas finas de pan, aceite de oliva virgen extra, albahaca, ","canelones de atún, jugo de aceituna verde, leche de almendra, pulpa de tomate, aceite de albahaca, pulpa de aceituna negra, alcaparras en vinagre, aceite de arbequina, pan, aceite de oliva virgen extra, albahaca, ",,,
Buey de mar con aguacate y huevas frescas de trucha,"buey de mar, agua, sal, aceite de oliva suave, huevo pasteurizado, zumo de limón, pimienta negra, alga kombu deshidratada, katsuobushi laminado, salsa de soja, xantana, aguacate, zumo de lima, jengibre, piel rallada de lima, huevas frescas de trucha, yogur griego, perifollo, tostadas finas de pan, ","buey de mar, sal, aceite de oliva suave, huevo pasteurizado, zumo de limón, pimienta negra, alga kombu deshidratada, katsuobushi laminado, salsa de soja, aguacate, zumo de lima, jengibre, piel rallada de lima, huevas frescas de trucha, yogur griego, perifollo, tostadas finas de pan, ","carne cocida de buey de mar, mayonesa, salsa de dashi y soja, crema de aguacate, huevas frescas de trucha, yogur griego, perifollo, tostadas finas de pan, ","mezcla de buey de mar y mayonesa, salsa de dashi y soja, crema de aguacate, huevas frescas de trucha, yogur griego, perifollo, tostadas finas de pan, ","buey de mar, mayonesa, salsa de dashi y soja, crema de aguacate, huevas frescas de trucha, yogur griego, perifollo, pan, ",,,
Ostra a la japonesa,"ostras cóncavas medianas,  jengibre, aceite de girasol, alga kombu deshidratada, katsuobushi laminado, agua, zumo de limón, zumo de naranja, salsa de soja, xantana, alga wakame deshidratada, huevas de salmón, ","ostras cóncavas medianas,  jengibre, aceite de girasol, alga kombu deshidratada, katsuobushi laminado, zumo de limón, zumo de naranja, salsa de soja, alga wakame deshidratada, huevas de salmón, ","ostras, salsa japonesa, alga wakame rehidratada, huevas de salmón, ","ostras, salsa japonesa, alga wakame rehidratada, huevas de salmón, ","ostras, salsa japonesa, alga wakame, huevas de salmón, ",,,
Ostra con ajo blanco y ajo negro,"ostras cóncavas medianas, almendra marcona, agua, aceite de oliva virgen extra, ajo, sal, vinagre de jerez, ajo negro fermentado, ","ostras cóncavas medianas, almendra marcona, aceite de oliva virgen extra, ajo, sal, vinagre de jerez, ajo negro fermentado, ","ostras, ajo blanco, ajo negro fermentado, vinagre de jerez, ","ostras, ajo blanco, ajo negro fermentado, vinagre de jerez, ","ostras, ajo blanco, ajo negro fermentado, vinagre de jerez, ",,,
Ostra con remolacha y polvo helado de yogur,"yogur natural, nata con 35 % de materia grasa, ácido cítrico, remolachas, sal, pimienta negra, ostras cóncavas medianas,  vinagre balsámico de Módena, vinagre de jerez, zumo de limón, pistachos verdes tostados, aceite de oliva virgen extra, ","yogur natural, nata con 35 % de materia grasa, ácido cítrico, remolachas, sal, pimienta negra, ostras cóncavas medianas, vinagre balsámico de Módena, vinagre de jerez, zumo de limón, pistachos verdes tostados, aceite de oliva virgen extra, ","ostras, polvo helado de yogur, jugo de remolacha, mezcla de vinagres, zumo de limón, pistachos verdes tostados, aceite de oliva virgen extra,","ostras, polvo helado de yogur, jugo de remolacha, mezcla de vinagres, zumo de limón, pistachos verdes tostados, aceite de oliva virgen extra,","ostras, yogur, jugo de remolacha, mezcla de vinagres, zumo de limón, pistachos verdes tostados, aceite de oliva virgen extra,",,,
"Ostra con nabo, manzana y sidra","manzanas granny-smith, zumo de limón, ostras cóncavas medianas, nabo blanco tipo daikon, gochu jang, sidra irlandesa, albahaca, ","manzanas granny-smith, zumo de limón, ostras cóncavas medianas, nabo blanco tipo daikon, gochu jang, sidra irlandesa, albahaca, ","ostras, agua de manzana con limón, nabo con manzana y gochu jang, gochu jang, sidra irlandesa, albahaca, ","ostras, agua de manzana con limón, nabo con manzana y gochu jang, gochu jang, sidra irlandesa, albahaca, ","ostras, agua de manzana con limón, nabo, gochu jang, sidra irlandesa, albahaca, ",,,
Ostra con crema de jamón ibérico y manzanilla,"ostras cóncavas medianas, recortes de jamón ibérico, agua, xantana, grasa de jamón ibérico, aceite de girasol, vino manzanilla, ","ostras cóncavas medianas, recortes de jamón ibérico, grasa de jamón ibérico, aceite de girasol, vino manzanilla, ","ostras, consomé de jamón ibérico, grasa líquida de jamón ibérico, vino manzanilla, ","ostras, crema de jamón ibérico, vino manzanilla, ","ostras, crema de jamón ibérico, vino manzanilla, ",,,
Ostra en suquet,"pescado de roca, tomates, ajo, agua, vino blanco, pimentón dulce, aceite de oliva virgen extra, sal, ostras cóncavas medianas, perejil picado, ","pescado de roca, tomates, ajo, vino blanco, pimentón dulce, aceite de oliva virgen extra, sal, ostras cóncavas medianas, perejil picado, ","ostras, salsa suquet, perejil picado, ","ostras, salsa suquet, perejil picado, ","ostras, salsa suquet, perejil picado, ",,,
Ostra a la gallega,"lacón, agua, sal, ostras cóncavas medianas, pimentón dulce, aceite de oliva virgen extra, jamón ibérico, caviaroli de arbequina, ","lacón, sal, ostras cóncavas medianas, pimentón dulce, aceite de oliva virgen extra, jamón ibérico, caviaroli de arbequina, ","ostras, caldo de lacón, pimentón dulce, aceite de oliva virgen extra, jamón ibérico, caviaroli de arbequina, ","ostras, caldo de lacón, pimentón dulce, aceite de oliva virgen extra, jamón ibérico, caviaroli de arbequina, ","ostras, caldo de lacón, pimentón dulce, aceite de oliva virgen extra, jamón ibérico, aceite de arbequina, ",,,
Ostra en salsa verde,"mejillones de roca, agua, sal, ajo, perejil picado, aceite de oliva virgen extra, xantana, ostras cóncavas medianas, ","mejillones de roca, sal, ajo, perejil picado, aceite de oliva virgen extra, ostras cóncavas medianas, ","ostras, salsa verde, ","ostras, salsa verde, ","ostras, salsa verde, ",,,
Navajas tibias con vinagreta de boletus y piñones,"navajas medianas, agua, sal, boletus, aceite de girasol, pimienta negra, jengibre, laurel, aceite de confitar los boletus, vinagre de arroz, salsa jang, xantana, cebollino picado, piñones tostados, ","navajas medianas, sal, boletus, aceite de girasol, pimienta negra, jengibre, laurel, aceite de confitar los boletus, vinagre de arroz, salsa jang, cebollino picado, piñones tostados, ","navajas cocidas, dados de boletus confitados,  vinagreta, piñones tostados, ","navajas cocidas, dados de boletus confitados,  vinagreta, piñones tostados, ","navajas cocidas, boletus confitados,  vinagreta, piñones tostados, ",,,
Navajas a la sal,"jengibre, aceite de girasol, zumo de limón, zumo de naranja, vinagre de arroz, salsa de soja, agua, xantana, aceite de oliva virgen extra, vinagre balsámico de Módena, sal, pimienta negra, navajas medianas, alga lechuga de mar, alga laurencia fresca, sal gorda, ","jengibre, aceite de girasol, zumo de limón, zumo de naranja, vinagre de arroz, salsa de soja, aceite de oliva virgen extra, vinagre balsámico de Módena, sal, pimienta negra, navajas medianas, alga lechuga de mar, alga laurencia fresca, ","vinagreta asiática, vinagreta ahumada, papillote de navajas y algas, ","vinagreta asiática, vinagreta ahumada, papillote de navajas y algas, ","vinagreta asiática, vinagreta ahumada, navajas, algas, ",,,
Mejillones a la bearnesa,"mejillones medianos, agua de mejillón, mantequilla, chalota, vino blanco, zumo de limón, estragón picado, sal, vinagre de vino blanco, estragón, ","mejillones medianos, agua de mejillón, mantequilla, chalota, vino blanco, zumo de limón, estragón picado, sal, vinagre de vino blanco, estragón, ","mejillones cocidos, salsa bearnesa, aros de chalota encurtida, estragón, ","mejillones cocidos, salsa bearnesa, aros de chalota encurtida, estragón, ","mejillones cocidos, salsa bearnesa, chalota encurtida, estragón, ",,,
Almejas con manzana y romero,"manzanas granny-smith, zumo de limón, aceite de oliva suave, romero, almejas finas, agua, sal, pimienta negra, flores de romero, ","manzanas granny-smith, zumo de limón, aceite de oliva suave, romero, almejas finas, sal, pimienta negra, flores de romero, ","almejas finas, jugo de manzana con picadillo y limón, aceite de romero, pimienta negra, flores de romero, ","almejas finas, jugo de manzana con picadillo y limón, aceite de romero, pimienta negra, flores de romero, ","almejas, jugo de manzana, manzana, limón, aceite de romero, pimienta negra, flores de romero, ",,,
"Sepietas a la brutesca con papada, avellana y oporto","papada de cerdo, sal, pimienta negra, sepias pequeñas, cebolla, aceite de oliva virgen extra, agua, oporto, glucosa, espárragos verdes, avellanas, aceite de maíz, perifollo, sal en escamas, ","papada de cerdo, sal, pimienta negra, sepias pequeñas, cebolla, aceite de oliva virgen extra, oporto, glucosa, espárragos verdes, avellanas, aceite de maíz, perifollo, sal en escamas, ","papada de cerdo confitada, sepias pequeñas, cebolla caramelizada, reducción de oporto, espárragos verdes, pasta de avellana tostada, perifollo, aceite de oliva virgen extra, sal en escamas, ","papada de cerdo confitada, sepias pequeñas, cebolla caramelizada, reducción de oporto, espárragos verdes, pasta de avellana tostada, perifollo, aceite de oliva virgen extra, sal en escamas, ","papada de cerdo confitada, sepias, cebolla caramelizada, reducción de oporto, espárragos verdes, pasta de avellana tostada, perifollo, aceite de oliva virgen extra, ",,,
Menestra de verduras en papillote ,"huesos de jamón ibérico, agua, cebolla, salsa jang, aceite de oliva virgen extra, espárragos verdes, mini-zanahorias, mini-calabacines, alcachofas, mini-endivias,  judías tiernas, mini-puerros, ramilletes de coliflor, sal, menta, albahaca, perifollo, flores de begonia, ramitas de hinojo fresco, láminas de jamón ibérico, ","huesos de jamón ibérico, cebolla, salsa jang, aceite de oliva virgen extra, espárragos verdes, mini-zanahorias, mini-calabacines, alcachofas, mini-endivias,  judías tiernas, mini-puerros, ramilletes de coliflor, sal, menta, albahaca, perifollo, flores de begonia, ramitas de hinojo fresco, láminas de jamón ibérico, ","jugo de la menestra, espárragos verdes, mini-zanahorias, mini-calabacines, alcachofas, mini-endivias,  judías tiernas, mini-puerros, ramilletes de coliflor, menta, albahaca, perifollo, flores de begonia, ramitas de hinojo fresco, láminas de jamón ibérico, ","jugo de la menestra, espárragos verdes, mini-zanahorias, mini-calabacines, alcachofas, mini-endivias,  judías tiernas, mini-puerros, ramilletes de coliflor, menta, albahaca, perifollo, flores de begonia, ramitas de hinojo fresco, láminas de jamón ibérico, ","jugo de la menestra, espárragos verdes, mini-zanahorias, mini-calabacines, alcachofas, mini-endivias,  judías tiernas, mini-puerros, ramilletes de coliflor, menta, albahaca, perifollo, flores de begonia, ramitas de hinojo fresco, láminas de jamón ibérico, ",,,
"Espárragos blancos con mayonesa caliente, mostaza, nuez y pomelo","espárragos blancos gordos, agua, sal, yema de huevo pasteurizada, huevo pasteurizado,  aceite de oliva virgen, vinagre de jerez, mostaza de Dijon, piñas verdes de ciprés, azúcar, mostaza a la antigua, aceite de oliva virgen extra, nueces,  aceite de girasol, zumo de naranja, glucosa,  ácido cítrico, pasta de aceituna negra, gajos de pomelo rosa, germinados de mostaza, albahaca, sal en escamas , ","espárragos blancos gordos sal, yema de huevo pasteurizada, huevo pasteurizado,  aceite de oliva virgen, vinagre de jerez, mostaza de Dijon, piñas verdes de ciprés, azúcar, mostaza a la antigua, aceite de oliva virgen extra, nueces,  aceite de girasol, zumo de naranja, glucosa,  ácido cítrico, pasta de aceituna negra, gajos de pomelo rosa, germinados de mostaza, albahaca, sal en escamas , ","espárragos blancos cocidos, espuma caliente de mayonesa, miel de ciprés, vinagreta de mostaza, pasta de nuez, nueces fritas, reducción de zumo de naranja, aceite de aceituna negra, gajos de pomelo rosa, germinados de mostaza, albahaca, sal en escamas , ","espárragos blancos cocidos, espuma caliente de mayonesa, miel de ciprés, vinagreta de mostaza, pasta de nuez, nueces fritas, reducción de zumo de naranja, aceite de aceituna negra, gajos de pomelo rosa, germinados de mostaza, albahaca, sal en escamas , ","espárragos blancos cocidos, espuma caliente de mayonesa, miel de ciprés, vinagreta de mostaza, pasta de nuez, nueces fritas, reducción de zumo de naranja, aceite de aceituna negra, gajos de pomelo rosa, germinados de mostaza, albahaca, ",,,
Buñuelos de bacalao a la miel,"patata, bacalao desalado, mantequilla, ajo picado, perejil picado, harina, huevo, sal, miel de romero, agua, lecitina de soja en polvo, aceite de oliva suave, ","patata, bacalao desalado, mantequilla, ajo picado, perejil picado, harina, huevo, sal, miel de romero, lecitina de soja en polvo, aceite de oliva suave, ","buñuelos de bacalao, aire de miel, miel de romero, ","buñuelos de bacalao, aire de miel, miel de romero, ","buñuelos de bacalao, miel de romero, ",,,
Huevo de pollita con patata y trufa negra,"grasa de foie gras, trufa negra, sal, patatas,  nata con el 35 % de materia grasa, aceite de oliva virgen extra, pan de hogaza, huevos de pollita, pimienta negra, ","grasa de foie gras, trufa negra, sal, patatas,  nata con el 35 % de materia grasa, aceite de oliva virgen extra, pan de hogaza, huevos de pollita, pimienta negra, ","grasa de foie gras y trufa negra, espuma caliente de patata, picatostes, huevos de pollita, pimienta negra, ","grasa de foie gras y trufa negra, espuma caliente de patata, picatostes, huevos de pollita, pimienta negra, ","grasa de foie gras y trufa negra, espuma de patata, picatostes, huevos de pollita, pimienta negra, ",,,
"Huevo con caldo cítrico, huevas de salmón y sésamo","huevos de gallina, agua, sal, shitakes, aceite de oliva suave, jengibre, ajo, alga kombu deshidratada, katsuobushi, salsa de soja, zumo de limón, xantana, sésamo negro, sésamo blanco, aceite de girasol, huevas de salmón salvaje, albahaca, perifollo,  germinados de shiso verde, caviaroli de aceite de sésamo, limón, miso blanco, sal en escamas, ","huevos de gallina, sal, shitakes, aceite de oliva suave, jengibre, ajo, alga kombu deshidratada, katsuobushi, salsa de soja, zumo de limón, sésamo negro, sésamo blanco, aceite de girasol, huevas de salmón salvaje, albahaca, perifollo,  germinados de shiso verde, caviaroli de aceite de sésamo, limón, miso blanco, sal en escamas, ","huevo cocido, shitakes confitados, caldo cítrico, sésamo frito, huevas de salmón salvaje, albahaca, perifollo,  germinados de shiso verde, caviaroli de aceite de sésamo, piel de limón rallada, miso blanco, sal en escamas, ","huevo cocido, shitakes confitados, caldo cítrico, sésamo frito, huevas de salmón salvaje, albahaca, perifollo,  germinados de shiso verde, caviaroli de aceite de sésamo, piel de limón rallada, miso blanco, sal en escamas, ","huevo cocido, shitakes confitados, caldo cítrico, sésamo frito, huevas de salmón salvaje, albahaca, perifollo, shiso verde, caviaroli de aceite de sésamo, piel de limón rallada, miso blanco,",,,
Rape en suquet,"cola de rape, pescado de roca, agua, ajo, tomate maduro, aceite de oliva virgen, pimentón dulce, vino blanco, sal, patatas, aceite de oliva virgen extra, maicena, aceite de oliva suave, huevo pasteurizado, vinagre de vino blanco, pimentón hojilla, perejil, almendra marcona cruda, aceite de maíz,  cebollino picado, perejil picado, perifollo, ","cola de rape, pescado de roca, ajo, tomate maduro, aceite de oliva virgen, pimentón dulce, vino blanco, sal, patatas, aceite de oliva virgen extra, aceite de oliva suave, huevo pasteurizado, vinagre de vino blanco, pimentón hojilla, perejil, almendra marcona cruda, aceite de maíz,  cebollino picado, perejil picado, perifollo, ","rape, puré de suquet, salsa de suquet, mayonesa de ajo, aceite de pimentón, aceite de ajo y perejil, almendras tostadas, pasta de almendras tostadas, cebollino picado, perejil picado, perifollo, aceite de oliva virgen extra, sal, ","rape, puré de suquet, salsa de suquet, mayonesa de ajo, aceite de pimentón, aceite de ajo y perejil, almendras tostadas, pasta de almendras tostadas, cebollino picado, perejil picado, perifollo, aceite de oliva virgen extra, sal, ","rape, puré de suquet, mayonesa de ajo, aceite de pimentón, aceite de ajo y perejil, almendras tostadas, cebollino, perejil, perifollo, aceite de oliva virgen extra, ",,,
Ssäm de rape a la romana con romesco,"cebolla, ajo, tomates maduros, pulpa de ñora, avellanas tostadas, almendras marcona tostadas, aceite de oliva virgen extra, vinagre de jerez, perejil, sal, lomo de rape, zumo de limón, agua, lecitina de soja en polvo, lechugas trocadero, aceite de oliva suave, huevos, harina de trigo, puré de aceituna negra, avellanas tostadas troceadas, perifollo, ","cebolla, ajo, tomates maduros, pulpa de ñora, avellanas tostadas, almendras marcona tostadas, aceite de oliva virgen extra, vinagre de jerez, perejil, sal, lomo de rape, zumo de limón, lechugas trocadero, aceite de oliva suave, huevos, harina de trigo, puré de aceituna negra, avellanas tostadas troceadas, perifollo, ","romesco,  lomo de rape, aire de limón, hojas de lechuga, puré de aceituna negra, avellanas tostadas troceadas, perifollo, ","romesco,  lomo de rape, aire de limón, hojas de lechuga, puré de aceituna negra, avellanas tostadas troceadas, perifollo, ","romesco,  lomo de rape frito, aire de limón, hojas de lechuga, puré de aceituna negra, avellanas tostadas, perifollo, ",,,
"Vieiras a la meunière con ensalada de hinojo, parmesano y champiñones","vieiras grandes, mantequilla, salsa jang, agua, zumo de limón, xantana, sal, champiñones, bulbo de hinojo, queso parmesano reggiano, avellanas, avellanas, brotes de hinojo, grosellas rojas, pimienta negra, aceite de oliva virgen extra, limón, ","vieiras grandes, mantequilla, salsa jang, zumo de limón, sal, champiñones, bulbo de hinojo, queso parmesano reggiano, avellanas, avellanas, brotes de hinojo, grosellas rojas, pimienta negra, aceite de oliva virgen extra, limón, ","vieiras, salsa meunière, láminas de champiñón, láminas de parmesano, láminas de hinojo, avellanas fritas, brotes de hinojo, grosellas rojas, pimienta negra, aceite de oliva virgen extra, piel rallada de limón, ","vieiras, salsa meunière, láminas de champiñón, láminas de parmesano, láminas de hinojo, avellanas fritas, brotes de hinojo, grosellas rojas, pimienta negra, aceite de oliva virgen extra, piel rallada de limón, ","vieiras, salsa meunière, champiñón, parmesano, hinojo, avellanas fritas, brotes de hinojo, grosellas rojas, aceite de oliva virgen extra, piel rallada de limón, pimienta negra, ",,,
"Bogavante con jugo de pollo a los anisados, mango y shitakes ","pollo limpio y troceado en trozos, carcasas de pollo, aceite de oliva suave, vino blanco, agua, sal, shitakes secos, anís estrellado, pimienta de Sichuan, aceite de sésamo, salsa de soja, xantana, cebollas tiernas, ajo, jengibre, laurel, aceite de girasol, pimienta negra, mango, sésamo blanco, sésamo negro, bogavantes, cilantro, aceite de oliva virgen extra, aceite de sésamo, ","pollo limpio y troceado en trozos, carcasas de pollo, aceite de oliva suave, vino blanco, sal, shitakes secos, anís estrellado, pimienta de Sichuan, aceite de sésamo, salsa de soja,cebollas tiernas, ajo, jengibre, laurel, aceite de girasol, pimienta negra, mango, sésamo blanco, sésamo negro, bogavantes, cilantro, aceite de oliva virgen extra, aceite de sésamo, ","jugo de pollo anisado, shitakes confitados, cebollas tiernas confitadas, láminas de mango, puré de mango, mezcla de sésamos tostados, bogavante, coral de bogavante, cilantro, aceite de oliva virgen extra, aceite de sésamo, pimienta negra, ","jugo de pollo anisado, shitakes confitados, cebollas tiernas confitadas, láminas de mango, puré de mango, mezcla de sésamos tostados, bogavante, coral de bogavante, cilantro, aceite de oliva virgen extra, aceite de sésamo, pimienta negra, ","jugo de pollo anisado, shitakes confitados, cebollas tiernas confitadas, láminas de mango, puré de mango, sésamos tostados, bogavante, coral de bogavante, cilantro, aceite de oliva virgen extra, aceite de sésamo, pimienta negra, ",,,
Bogavante en escabeche ,"pollo limpio y troceado en trozos, cebolla, ajo, zanahoria, pimienta negra, tomillo, romero, laurel, aceite de oliva suave, vinagre de jerez, agua, maicena, níscalos, minizanahorias, calçots, aceite de oliva virgen extra, sal, bogavantes, panceta ibérica salada, agar-agar en polvo, hoja de gelatina, estragón, flores de romero, ","pollo limpio y troceado en trozos, cebolla, ajo, zanahoria, pimienta negra, tomillo, romero, laurel, aceite de oliva suave, vinagre de jerez, níscalos, minizanahorias, calçots, aceite de oliva virgen extra, sal, bogavantes, panceta ibérica salada, estragón, flores de romero, ","jugo de pollo en escabeche, escabeche de níscalos, escabeche de calçots, escabeche de zanahoria, bogavante, panceta confitada, velo de vinagre de jerez, aceite de oliva virgen extra, estragón, flores de romero, ","jugo de pollo en escabeche, escabeche de níscalos, escabeche de calçots, escabeche de zanahoria, bogavante, panceta confitada, velo de vinagre de jerez, aceite de oliva virgen extra, estragón, flores de romero, ","jugo de pollo en escabeche, escabeche de níscalos, escabeche de calçots, escabeche de zanahoria, bogavante, panceta confitada, gelatina de vinagre de jerez, aceite de oliva virgen extra, estragón, flores de romero, ",,,
Shabu-shabu de salmón con espárragos verdes y alga wakame,"zumo de limón, zumo de naranja, vinagre de arroz, salsa de soja, dashi en polvo, jengibre rallado, shitakes, aceite de oliva suave,  jengibre, ajo, sal, aceite de girasol, alga wakame deshidratada, espárragos verdes, agua, miso blanco, aceite de sésamo tostado, filete de salmón, albahaca, sésamo blanco tostados, sésamo negro tostados, ","zumo de limón, zumo de naranja, vinagre de arroz, salsa de soja, dashi en polvo, jengibre rallado, shitakes, aceite de oliva suave,  jengibre, ajo, sal, aceite de girasol, alga wakame deshidratada, espárragos verdes, miso blanco, aceite de sésamo tostado, filete de salmón, albahaca, sésamo blanco tostados, sésamo negro tostados, ","salsa ponzu, shitakes confitados, aceite de jengibre, alga wakame hidratada, espárragos verdes, sopa de miso, láminas de salmón, albahaca, sésamo blanco tostados, sésamo negro tostados, ","salsa ponzu, shitakes confitados, aceite de jengibre, alga wakame hidratada, espárragos verdes, sopa de miso, láminas de salmón, albahaca, sésamo blanco tostados, sésamo negro tostados, ","salsa ponzu, shitakes confitados, aceite de jengibre, alga wakame, espárragos verdes, sopa de miso, salmón, albahaca, sésamo blanco tostados, sésamo negro tostados, ",,,
Rodaballo al estilo tailandés,"pollo limpio y troceado en trozos, carcasas de pollo, aceite de oliva suave, vino blanco, agua, sal, limoncillo, jengibre, menta, albahaca, cilantro, lima kaffir, salsa de soja, rodaballos, aceite de maíz, ajo, cacahuete pelado tostado, cebolla roja, leche de coco, pimientos de Padrón, guindilla, aceite de oliva virgen extra, ","pollo limpio y troceado en trozos, carcasas de pollo, aceite de oliva suave, vino blanco, sal, limoncillo, jengibre, menta, albahaca, cilantro, lima kaffir, salsa de soja, rodaballos, aceite de maíz, ajo, cacahuete pelado tostado, cebolla roja, leche de coco, pimientos de Padrón, guindilla, aceite de oliva virgen extra, ","jugo de pollo infusionado, rodaballos, aceite de lima kaffir, aceite de ajo y jengibre, pasta de cacahuete, cacahuetes fritos, aros de cebolla roja, leche de coco, pimientos de Padrón, menta, albahaca, cilantro, guindilla, aceite de oliva virgen extra, ","jugo de pollo infusionado, rodaballos, aceite de lima kaffir, aceite de ajo y jengibre, pasta de cacahuete, cacahuetes fritos, aros de cebolla roja, leche de coco, pimientos de Padrón, menta, albahaca, cilantro, guindilla, aceite de oliva virgen extra, ","jugo de pollo infusionado, rodaballos a la plancha, aceite de lima kaffir, aceite de ajo y jengibre, pasta de cacahuete, cacahuetes fritos, cebolla roja, leche de coco, pimientos de Padrón, menta, albahaca, cilantro, guindilla, aceite de oliva virgen extra, ",,,
